citations,id,Articles/Decision
"['Since these proceedings are, for the parties to', 'to the Court, other than the costs']",43_1_62020CJ0513,[]
[],43_2_62020CJ0513,[]
"['Article 132(1)(b) of Council Directive 2006/112/EC of 28 November 2006 on the common system', 'the meaning of Article']",43_3_62020CJ0513,"[('Article 132(1)(b) 32006L0112', '32006L0112')]"
"['Since these proceedings are, for the parties to', 'to the Court, other than the costs']",54_1_62019CJ0881,[]
[],54_2_62019CJ0881,[]
"['(EU) No 1169/2011 of the European Parliament and of the Council of 25 October 2011 on the provision of food information to consumers, amending Regulations (EC) No 1924/2006 and (EC) No 1925/2006 of the European Parliament and of the Council, and repealing Commission Directive 87/250/EEC, Council Directive 90/496/EEC, Commission Directive 1999/10/EC, Directive 2000/13/EC of the European Parliament and of the Council, Commission Directives 2002/67/EC and 2008/5/EC and Commission Regulation (EC) No', 'of Annex I to Directive 2000/36/EC of the European Parliament']",54_3_62019CJ0881,[]
"['Since these proceedings are, for the parties to', 'to the Court, other than the costs']",56_1_62020CJ0261,[]
[],56_2_62020CJ0261,[]
"['of Article 15(1), (2)(g) and (3) of Directive 2006/123/EC of the European Parliament and of the Council of 12 December']",56_3_62020CJ0261,"[('Article 15(1) 32006L0123', '32006L0123'), ('Article (2)(g) 32006L0123', '32006L0123'), ('Article (3) 32006L0123', '32006L0123')]"
"['Since these proceedings are, for the parties to', 'to the Court, other than the costs']",75_1_62020CJ0118,[]
[],75_2_62020CJ0118,[]
"['the nationality of one Member State only, renounces that nationality and loses, as a result, his or her status of citizen of the Union, with a view to obtaining the nationality of another Member State, following the assurance given by the authorities of the latter Member State that he or she will be granted that nationality, falls, by reason of its nature and its consequences, within the scope of EU law where that assurance is revoked with the effect of preventing that person from recovering the status of citizen of']",75_3_62020CJ0118,[]
"['2. Article 20 TFEU must be interpreted as meaning that the competent national authorities and, as the case may be, the national courts of the host Member State are required to ascertain whether the decision to revoke the assurance as to the grant of the nationality of that Member State, which makes the loss of the status of citizen of the Union permanent for']",75_4_62020CJ0118,[]
"['Since these proceedings are, for the parties to', 'to the Court, other than the costs']",48_1_62020CJ0090,[]
[],48_2_62020CJ0090,[]
['Article 2(1)(c) of Council Directive 2006/112/EC of 28 November 2006 on'],48_3_62020CJ0090,"[('Article 2(1)(c) 32006L0112', '32006L0112')]"
"['Since these proceedings are, for the parties to', 'to the Court, other than the costs']",48_1_62020CJ0432,[]
